Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,30,4,N,11:00:00,11:03:00,0:03:00,3,0,180,180,3,26,8.666666667,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,28,5,N,11:38:00,11:41:00,0:03:00,3,0,180,180,3,17,5.666666667,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,31,7,N,11:42:00,11:45:00,0:03:00,3,0,180,180,3,28,9.333333333,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,27,2,N,11:58:00,12:01:00,0:03:00,3,0,180,180,3,26,8.666666667,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,28,1,N,12:26:00,12:27:44,0:01:44,1,44,60,104,1.733333333,17,9.807692308,1.733333333,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,30,2,N,12:30:00,12:33:00,0:03:00,3,0,180,180,3,56,18.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,26,1,N,13:02:00,13:05:00,0:03:00,3,0,180,180,3,27,9,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,30,5,N,13:32:00,13:33:15,0:01:15,1,15,60,75,1.25,15,12,1.25,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,25,10,N,13:34:00,13:37:00,0:03:00,3,0,180,180,3,45,15,3,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,27,1,N,12:27:00,12:30:15,0:03:15,3,15,180,195,3.25,61,18.76923077,3.25,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,30,1,N,12:46:00,12:49:00,0:03:00,3,0,180,180,3,55,18.33333333,3,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,25,3,N,13:01:30,13:04:40,0:03:10,3,10,180,190,3.166666667,83,26.21052632,3.166666667,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,28,2,N,10:09:40,10:11:40,0:02:00,2,0,120,120,2,14,7,2,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,30,1,N,10:23:00,10:26:00,0:03:00,3,0,180,180,3,55,18.33333333,3,,
